antecedent,consequent,count
手套,相机,296972
汽车装饰,儿童课外读物,296964
笔记本电脑,上衣,296960
手套,肉类,296946
智能手表,厨具,296923
内衣,厨具,296886
智能手表,汽车装饰,296858
上衣,智能手表,296820
米面,家具,296812
裤子,水产,296763
平板电脑,手套,296743
水果,鞋子,296724
办公用品,健身器材,296637
蔬菜,平板电脑,296619
外套,厨具,296612
笔记本电脑,办公用品,296611
帽子,手套,296582
肉类,手套,296565
手套,车载电子,296555
蔬菜,车载电子,296543
益智玩具,水产,296485
办公用品,笔记本电脑,296461
智能手表,上衣,296460
汽车装饰,内衣,296407
儿童课外读物,汽车装饰,296342
办公用品,智能手表,296339
水果,音响,296322
家具,手套,296292
厨具,儿童课外读物,296268
水产,笔记本电脑,296262
厨具,内衣,296216
婴儿用品,玩具,296146
手套,家具,296072
婴儿用品,床上用品,296059
平板电脑,蔬菜,296032
蔬菜,相机,296015
上衣,内衣,295880
健身器材,办公用品,295866
外套,户外装备,295847
蛋奶,婴儿用品,295832
上衣,儿童课外读物,295750
内衣,汽车装饰,295725
调味品,耳机,295633
车载电子,蔬菜,295582
蔬菜,家具,295460
儿童课外读物,上衣,295448
水产,益智玩具,295389
鞋子,饮料,295380
蛋奶,车载电子,295341
健身器材,水产,295297
家具,蔬菜,295217
婴儿用品,蛋奶,295210
厨具,外套,295189
智能手表,办公用品,295135
饮料,鞋子,295112
饮料,音响,295094
外套,汽车装饰,295039
内衣,上衣,294979
帽子,床上用品,294974
外套,上衣,294896
办公用品,儿童课外读物,294883
音响,饮料,294821
玩具,相机,294808
耳机,调味品,294806
车载电子,床上用品,294799
笔记本电脑,水产,294793
蛋奶,帽子,294788
床上用品,婴儿用品,294697
床上用品,肉类,294675
儿童课外读物,办公用品,294664
水产,健身器材,294617
玩具,车载电子,294591
玩具,帽子,294589
相机,蛋奶,294556
鞋子,智能手机,294542
相机,床上用品,294520
户外装备,平板电脑,294448
床上用品,车载电子,294426
婴儿用品,户外装备,294411
平板电脑,玩具,294398
办公用品,内衣,294393
相机,玩具,294377
肉类,床上用品,294360
智能手表,水产,294350
户外装备,婴儿用品,294344
内衣,办公用品,294340
蛋奶,相机,294295
肉类,玩具,294242
上衣,外套,294234
车载电子,玩具,294202
玩具,婴儿用品,294197
车载电子,蛋奶,294195
蛋奶,肉类,294193
床上用品,平板电脑,294189
智能手机,音响,294164
肉类,蛋奶,294140
床上用品,帽子,294139
蛋奶,平板电脑,294096
汽车装饰,外套,294073
平板电脑,床上用品,294063
家具,床上用品,294061
游戏机,调味品,294007
帽子,玩具,293969
调味品,游戏机,293938
床上用品,相机,293920
床上用品,家具,293846
帽子,蛋奶,293812
玩具,平板电脑,293692
内衣,水产,293607
摄像机,卫浴用品,293589
平板电脑,蛋奶,293584
户外装备,肉类,293548
裤子,调味品,293483
厨具,婴儿用品,293462
水产,智能手表,293449
办公用品,外套,293425
调味品,益智玩具,293425
肉类,汽车装饰,293401
家具,蛋奶,293332
外套,办公用品,293325
米面,米面,293325
音响,智能手机,293312
玩具,肉类,293296
家具,玩具,293296
调味品,裤子,293289
卫浴用品,摄像机,293217
智能手机,鞋子,293212
蛋奶,家具,293196
户外装备,相机,293151
玩具,家具,293119
益智玩具,调味品,293013
相机,户外装备,292954
平板电脑,户外装备,292946
车载电子,户外装备,292934
汽车装饰,婴儿用品,292904
婴儿用品,汽车装饰,292851
婴儿用品,厨具,292846
肉类,户外装备,292725
车载电子,汽车装饰,292707
户外装备,帽子,292658
厨具,车载电子,292641
水产,内衣,292595
户外装备,车载电子,292539
儿童课外读物,水产,292536
帽子,户外装备,292423
摄像机,水果,292404
外套,水产,292314
户外装备,家具,292259
相机,汽车装饰,292237
平板电脑,汽车装饰,292198
手套,米面,292098
上衣,婴儿用品,292053
水产,儿童课外读物,292050
家具,户外装备,292024
厨具,肉类,291978
米面,蔬菜,291969
蔬菜,米面,291931
调味品,健身器材,291919
汽车装饰,车载电子,291889
相机,厨具,291788
汽车装饰,帽子,291778
调味品,笔记本电脑,291748
汽车装饰,平板电脑,291705
帽子,汽车装饰,291670
婴儿用品,上衣,291668
汽车装饰,肉类,291647
厨具,平板电脑,291572
肉类,厨具,291513
音响,零食,291494
帽子,厨具,291426
水产,外套,291377
汽车装饰,相机,291353
健身器材,调味品,291351
厨具,帽子,291284
鞋子,裙子,291276
裙子,音响,291262
米面,手套,291145
音响,裙子,291141
笔记本电脑,调味品,291062
蔬菜,蔬菜,291042
平板电脑,厨具,291038
上衣,平板电脑,290968
家具,厨具,290937
调味品,智能手表,290937
水果,摄像机,290925
厨具,相机,290883
裙子,鞋子,290862
上衣,相机,290842
办公用品,婴儿用品,290792
蔬菜,手套,290763
鞋子,零食,290763
车载电子,上衣,290712
车载电子,厨具,290662
上衣,车载电子,290602
上衣,肉类,290601
手套,手套,290557
帽子,上衣,290511
相机,上衣,290465
上衣,帽子,290399
家具,汽车装饰,290367
汽车装饰,家具,290242
零食,鞋子,290176
婴儿用品,办公用品,290092
蛋奶,米面,290038
水产,婴儿用品,289997
肉类,上衣,289954
手套,蔬菜,289916
办公用品,帽子,289876
床上用品,米面,289847
平板电脑,上衣,289796
上衣,家具,289778
厨具,家具,289667
零食,音响,289644
米面,床上用品,289621
家具,办公用品,289589
智能手表,调味品,289582
办公用品,平板电脑,289530
车载电子,办公用品,289404
帽子,办公用品,289355
摄像机,饮料,289344
饮料,摄像机,289161
儿童课外读物,调味品,289086
婴儿用品,水产,289085
米面,玩具,289083
办公用品,车载电子,289078
办公用品,肉类,289041
办公用品,相机,288998
相机,办公用品,288978
平板电脑,办公用品,288955
手套,玩具,288916
音响,耳机,288892
摄像机,智能手机,288845
家具,上衣,288821
调味品,儿童课外读物,288803
水产,平板电脑,288666
水产,肉类,288633
内衣,调味品,288631
蔬菜,玩具,288587
床上用品,手套,288584
智能手机,摄像机,288565
调味品,内衣,288511
耳机,鞋子,288455
水产,帽子,288437
水产,相机,288432
米面,蛋奶,288353
肉类,办公用品,288349
玩具,米面,288315
手套,蛋奶,288292
蔬菜,床上用品,288268
米面,户外装备,288241
蔬菜,蛋奶,288210
办公用品,家具,288124
手套,床上用品,288102
鞋子,耳机,288101
耳机,音响,287999
帽子,水产,287988
户外装备,米面,287977
蛋奶,蔬菜,287962
游戏机,鞋子,287954
床上用品,蔬菜,287919
相机,水产,287863
调味品,外套,287858
玩具,手套,287796
外套,调味品,287685
车载电子,水产,287592
平板电脑,水产,287576
户外装备,蔬菜,287536
蛋奶,手套,287429
手套,户外装备,287403
音响,裤子,287311
肉类,水产,287240
水产,车载电子,287194
蔬菜,户外装备,287142
玩具,蔬菜,287090
汽车装饰,米面,287029
家具,水产,286973
厨具,米面,286959
鞋子,游戏机,286853
音响,游戏机,286737
米面,汽车装饰,286655
鞋子,益智玩具,286609
游戏机,音响,286594
户外装备,手套,286492
蔬菜,厨具,286435
裙子,摄像机,286382
裤子,鞋子,286314
水产,家具,286273
蛋奶,蛋奶,286184
鞋子,裤子,286180
裤子,音响,286092
玩具,玩具,286034
床上用品,蛋奶,285984
上衣,米面,285926
益智玩具,鞋子,285889
米面,厨具,285852
手套,汽车装饰,285844
厨具,手套,285824
厨具,蔬菜,285776
蛋奶,床上用品,285692
摄像机,裙子,285668
汽车装饰,手套,285645
玩具,床上用品,285571
手套,厨具,285507
音响,益智玩具,285439
蔬菜,汽车装饰,285363
汽车装饰,蔬菜,285347
床上用品,床上用品,285342
米面,上衣,285326
婴儿用品,调味品,285325
笔记本电脑,鞋子,285316
床上用品,玩具,285268
益智玩具,音响,285167
鞋子,健身器材,285167
调味品,婴儿用品,285073
蛋奶,玩具,285071
鞋子,笔记本电脑,285063
摄像机,零食,285002
平板电脑,调味品,284883
健身器材,鞋子,284819
音响,笔记本电脑,284809
音响,健身器材,284786
玩具,户外装备,284688
办公用品,米面,284577
零食,摄像机,284535
户外装备,床上用品,284480
手套,上衣,284443
户外装备,蛋奶,284408
床上用品,户外装备,284369
玩具,蛋奶,284323
蛋奶,户外装备,284318
笔记本电脑,音响,284310
车载电子,调味品,284220
上衣,手套,284211
户外装备,玩具,284148
帽子,调味品,284104
肉类,调味品,284087
调味品,平板电脑,284073
上衣,蔬菜,284025
调味品,车载电子,284019
调味品,相机,284002
调味品,肉类,283950
调味品,帽子,283852
相机,调味品,283768
户外装备,户外装备,283762
音响,智能手表,283730
办公用品,蔬菜,283667
智能手表,音响,283647
健身器材,音响,283640
蔬菜,上衣,283634
米面,办公用品,283608
蛋奶,汽车装饰,283489
上衣,玩具,283444
汽车装饰,床上用品,283365
家具,调味品,283310
厨具,床上用品,283265
智能手表,鞋子,283203
米面,水产,283195
水产,米面,283136
蛋奶,厨具,283103
办公用品,手套,283101
厨具,玩具,283090
汽车装饰,玩具,283042
摄像机,耳机,282988
调味品,家具,282956
内衣,鞋子,282928
蔬菜,办公用品,282908
鞋子,儿童课外读物,282905
厨具,蛋奶,282794
汽车装饰,蛋奶,282786
玩具,厨具,282784
水产,手套,282732
玩具,汽车装饰,282689
儿童课外读物,音响,282652
床上用品,厨具,282599
音响,儿童课外读物,282543
内衣,音响,282540
裤子,摄像机,282538
手套,办公用品,282366
床上用品,汽车装饰,282322
鞋子,智能手表,282295
户外装备,汽车装饰,282289
鞋子,内衣,282288
蛋奶,上衣,282279
上衣,蛋奶,282146
耳机,摄像机,282134
手套,水产,282110
摄像机,游戏机,281965
床上用品,办公用品,281948
上衣,户外装备,281721
上衣,床上用品,281699
厨具,厨具,281615
户外装备,厨具,281590
音响,内衣,281517
水产,蔬菜,281377
益智玩具,摄像机,281262
汽车装饰,汽车装饰,281121
儿童课外读物,鞋子,281095
摄像机,裤子,281076
办公用品,玩具,281037
鞋子,外套,281004
厨具,汽车装饰,280934
汽车装饰,户外装备,280899
床上用品,上衣,280808
户外装备,上衣,280771
玩具,办公用品,280737
蔬菜,水产,280705
摄像机,益智玩具,280648
外套,音响,280620
玩具,上衣,280545
健身器材,摄像机,280487
厨具,户外装备,280465
汽车装饰,厨具,280457
音响,外套,280424
外套,鞋子,280382
汽车装饰,上衣,280091
笔记本电脑,摄像机,280088
上衣,汽车装饰,280083
蛋奶,办公用品,280079
游戏机,摄像机,279999
办公用品,蛋奶,279985
玩具,水产,279954
办公用品,床上用品,279778
蛋奶,水产,279755
办公用品,户外装备,279724
水产,蛋奶,279682
水产,床上用品,279629
办公用品,汽车装饰,279508
米面,调味品,279486
调味品,米面,279454
摄像机,健身器材,279429
厨具,上衣,279336
婴儿用品,鞋子,279317
摄像机,笔记本电脑,279050
上衣,厨具,278901
汽车装饰,办公用品,278887
厨具,办公用品,278866
音响,婴儿用品,278739
婴儿用品,音响,278731
水产,玩具,278692
户外装备,办公用品,278683
上衣,上衣,278670
户外装备,水产,278667
鞋子,相机,278606
床上用品,水产,278574
智能手表,摄像机,278490
鞋子,婴儿用品,278391
摄像机,智能手表,278295
音响,平板电脑,278274
帽子,音响,278226
相机,鞋子,278210
办公用品,厨具,278209
鞋子,平板电脑,278157
车载电子,鞋子,277977
调味品,蔬菜,277886
音响,肉类,277817
帽子,鞋子,277810
音响,相机,277742
音响,车载电子,277732
水产,汽车装饰,277710
肉类,音响,277679
手套,调味品,277632
蔬菜,调味品,277569
水产,户外装备,277566
儿童课外读物,摄像机,277512
平板电脑,鞋子,277461
摄像机,内衣,277411
车载电子,音响,277381
平板电脑,音响,277370
调味品,手套,277359
肉类,鞋子,277345
厨具,水产,277246
鞋子,车载电子,277224
汽车装饰,水产,277193
办公用品,上衣,277169
摄像机,儿童课外读物,277125
音响,家具,277068
音响,帽子,277016
水产,厨具,276936
鞋子,肉类,276777
相机,音响,276775
鞋子,家具,276773
内衣,摄像机,276695
上衣,办公用品,276653
鞋子,帽子,276651
外套,摄像机,276119
家具,鞋子,276090
家具,音响,276065
上衣,水产,276027
调味品,床上用品,276017
蛋奶,调味品,275952
摄像机,外套,275919
床上用品,调味品,275834
水产,上衣,275817
调味品,蛋奶,275473
玩具,调味品,275386
办公用品,办公用品,275245
办公用品,水产,274833
调味品,玩具,274812
户外装备,调味品,274719
厨具,调味品,274136
婴儿用品,摄像机,273981
调味品,厨具,273881
调味品,户外装备,273860
水产,办公用品,273824
米面,音响,273719
汽车装饰,调味品,273483
摄像机,婴儿用品,273308
摄像机,平板电脑,273020
水产,水产,272969
上衣,调味品,272968
摄像机,相机,272889
调味品,上衣,272828
调味品,汽车装饰,272678
米面,鞋子,272407
车载电子,摄像机,272398
音响,手套,272388
蔬菜,鞋子,272356
帽子,摄像机,272350
平板电脑,摄像机,272232
鞋子,米面,272223
鞋子,手套,272122
摄像机,帽子,272084
摄像机,车载电子,272022
蔬菜,音响,271936
音响,米面,271934
相机,摄像机,271909
手套,鞋子,271726
肉类,摄像机,271710
摄像机,家具,271692
摄像机,肉类,271677
手套,音响,271674
音响,蔬菜,271588
鞋子,蔬菜,271485
办公用品,调味品,271128
调味品,办公用品,271094
家具,摄像机,270710
床上用品,音响,270088
水产,调味品,270062
床上用品,鞋子,269956
鞋子,玩具,269876
音响,蛋奶,269769
蛋奶,鞋子,269604
玩具,鞋子,269460
调味品,水产,269229
音响,床上用品,269206
蛋奶,音响,269100
鞋子,床上用品,269049
鞋子,蛋奶,268857
玩具,音响,268772
户外装备,鞋子,268207
摄像机,手套,268089
户外装备,音响,268087
音响,玩具,267998
音响,汽车装饰,267977
鞋子,户外装备,267949
音响,户外装备,267687
米面,摄像机,267672
汽车装饰,鞋子,267559
摄像机,米面,267463
鞋子,汽车装饰,267439
鞋子,厨具,267394
汽车装饰,音响,267113
音响,厨具,266969
厨具,音响,266849
手套,摄像机,266752
厨具,鞋子,266357
调味品,调味品,266117
上衣,鞋子,266064
蔬菜,摄像机,265832
摄像机,蔬菜,265700
上衣,音响,265679
鞋子,上衣,265655
办公用品,音响,265549
音响,上衣,265399
办公用品,鞋子,265177
玩具,摄像机,265066
摄像机,蛋奶,265032
摄像机,床上用品,264627
摄像机,玩具,264525
蛋奶,摄像机,264435
鞋子,办公用品,264359
音响,办公用品,264030
鞋子,水产,263982
床上用品,摄像机,263980
摄像机,户外装备,263917
音响,水产,263893
水产,鞋子,263813
户外装备,摄像机,263767
水产,音响,263734
摄像机,厨具,262127
厨具,摄像机,262024
摄像机,汽车装饰,261899
汽车装饰,摄像机,261037
调味品,鞋子,261001
办公用品,摄像机,260840
音响,调味品,260712
摄像机,上衣,260496
调味品,音响,260417
上衣,摄像机,260357
鞋子,调味品,259575
摄像机,办公用品,259182
水产,摄像机,258797
摄像机,水产,258759
调味品,摄像机,255700
摄像机,调味品,255508
音响,鞋子,254513
音响,音响,254507
鞋子,音响,254485
鞋子,鞋子,253658
摄像机,音响,249596
摄像机,鞋子,249211
鞋子,摄像机,249191
音响,摄像机,249155
摄像机,摄像机,245061
